
2024/05/26 (09:29:12) | ===> btop++ v.1.3.2
2024/05/26 (09:29:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/26 (09:29:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/26 (09:31:58) | INFO: Logger set to INFO

2024/05/26 (09:38:00) | ===> btop++ v.1.3.2
2024/05/26 (09:38:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/26 (09:38:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/26 (09:38:53) | ===> btop++ v.1.3.2
2024/05/26 (09:38:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/26 (09:38:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/26 (09:39:25) | ===> btop++ v.1.3.2
2024/05/26 (09:39:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/26 (09:39:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/01 (22:45:18) | ===> btop++ v.1.3.2
2024/06/01 (22:45:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/01 (22:45:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/26 (16:16:56) | ===> btop++ v.1.3.2
2024/06/26 (16:16:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/26 (16:16:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/04 (20:47:10) | ===> btop++ v.1.3.2
2024/07/04 (20:47:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/04 (20:47:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (21:13:53) | ===> btop++ v.1.3.2
2024/07/10 (21:13:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/10 (21:13:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (19:50:19) | ===> btop++ v.1.3.2
2024/07/11 (19:50:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (19:50:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/19 (13:44:59) | ===> btop++ v.1.3.2
2024/07/19 (13:44:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/19 (13:44:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/19 (19:34:09) | ===> btop++ v.1.3.2
2024/07/19 (19:34:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/19 (19:34:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported
